Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brazil,55063999.99758,50283999.98985,62061000.0015,50807999.986375,70568999.993664,71133999.997974,106381999.997988,144320000.00838,164429999.99404,278595000.00332,278280999.985764,411641999.94104,347591000.00835,389183000.008556,406233999.991611,498272000.003522,700479999.87573,702242999.97536,778652999.77115,905459999.88693,667839999.89349,642300000.02496,568049000.0157,812879999.89482,834100000.035716,980900000.0408,957899999.88045,814952000.16198,802499999.98896,796599999.80864,830799999.9897,841299999.95594,1085499999.76435,1220800000.11948,1140100000.19575,1250899999.8446,1438100000.04231,1545499999.98668,1660766999.8379,1670000000.25,1640000000.19388,1977904689.88352,2279335630.10307,2607760059.93334,2200284460.22345,2345762850.05361,3094425280.25694,2821756149.72655,2430181219.7704,3091463310.1429,3822966670.0792,3456071729.98356,4067449330.2336,4529776680.01385,3502211880.22082
Bulgaria,73222999.99831,65032000.00442,89128000.01397,158972000.00426,219072000.0222,281739000.00988,323230999.99608,390033000.00598,386883999.9988,378801999.99621,321773999.98156,353653999.9806,328057000.00852,329536000.02048,379972000.00495,348400000.01863,362573999.98436,376334000.02048,420550999.99656,450000000.0002,518000000.0704,535600000.15,550299999.8601,479399999.8835,499000000.0518,478000000.1439,469399999.8303,548000000.172,494999999.8392,452899999.8404,377267999.98108,189174999.9852,166139000.0149,207700000.01516,112000000.0086,151999999.9984,157799999.99988,134999999.99784,110594000.01692,144900000.01028,172302000.01792,283556000.00291,315624000.00519,240613999.98964,189946000.00136,146881999.99724,200116999.99948,213561999.9928,278360000.00116,270129000.0065,371015000.048,244999999.9854,292380999.98406,296591000.00835,329545999.990944
Burkina Faso,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,293999.9999486,371999.9999872,440999.999892,584000.0001028,356000.0000592,700000.0001082,399999.9999376,2200000.000033,1755000.000006,3353999.999535,1959999.999889,1248000.0001205,3075000.000975,3310000.00142,4069999.998825,4218999.999975,4735999.999975,6779999.99926,8255999.99982,7958000.0016,8159000.0004,9213999.998775,9839000.0008,9306000,8999999.9985,11517000.000024,11390999.9985,11463000.00175,24351999.99925,16400000.00096,16899999.99944,9859999.99855,926000.000142,2010000.000006,26619999.9989,29081000.00087,35434999.99984,29999999.99952,23580000.00097,30583999.99929,28392000.00109,41121999.99936,29705000.00223,47525109.9979,50679999.9972,48799560.0009,51093420.0012
Burundi,NaN,NaN,NaN,NaN,NaN,99999.9999585,99999.99999984,100000.000002,229000.0000366,422000.00004,457000.0000158,576000.000037,228000.000051,601000.000026,329000.000004,466999.999973,441999.9999898,410999.999949,500000,900000,300000,500000,1247000,639000,1617000,1100000.000021,1000000,999999.999936,2000000.00013,999999.999936,999999.999936,1799000.0002,1366000.0003,999999.99996,999999.999966,999999.999966,999999.999966,1390999.99991,1821999.9996,1499999.99952,1499999.999358,513999.9999743,282000.000015,429000.0000195,1097999.9999664,1488000.0005,809000,996999.99997,1048999.99995,1942000.00065,2672999.9996,3167749.9994,3938820.0007,5613820.00025,4617710.0001
Cameroon,1499999.999999,1500000.000185,1999999.999882,2500000.000168,2999999.999864,6300000.0026,8525999.99769,10731000.00048,8837000.00082,11565000.00278,9000000.00042,7301999.999435,9326000.00024,9762999.99752,6099999.9999845,3999999.999891,14600000.001532,15399999.997725,14199999.998976,16085999.99853,16590000.0024,16900000.00155,24500000.00348,25999999.99758,26899999.9984,20699999.99697,24600000.00038,22075000.00314,18199999.99897,9000000.00342,6000000.00028,9399999.99992,10204000.0014,14999999.99972,14999999.99972,17999999.9968,18899999.99664,16525000.00104,25984999.99904,21857999.99936,25575999.99924,20791000.002,19370000.00308,33166999.99816,22773000.003394,25382999.998039,22299000.002128,22895000.001999,25296999.999014,25456999.9992,36976999.9965,28128810.00025,37118280.001,26009730.0035,42522989.99725
Canada,98347999.999505,122323000.00602,150211999.99344,170708000.00988,218208999.99912,276698999.987413,320841000.006816,242363999.986374,269850000.003834,291819999.994305,350000000.0149,409745999.94713,512640999.81952,531200000.10798,563000000.1343,599100000.149624,755300000.09688,834399999.82512,831099999.93336,937800000.1696,965900000.10084,1069799999.9126,1254899999.91392,1338500000.08854,1229999999.842,1144599999.91739,1182800000.07225,1160166000.20408,1197187999.9271,1157764000.08604,1253286999.90538,1317639999.95965,1405920000.14004,1456135999.9483,1576204999.83773,1670630000.00871,1652700000.03931,1625800000.14432,1682051999.97512,1564347999.937,1541190999.95372,1642988000.1506,1649912000.03212,1539449999.8526,1776684999.99312,1371961999.8896,2068031999.86396,1909242999.96928,1914549999.8328,2051263999.91112,2490486000.14555,2787716100.12675,2460000000.0375,2540000000.16876,2580000000.1026
Central African Republic,155000.00000034,160000.00000344,169999.99999864,200000.000031,600000.000026,799999.999997,1000000.00008,1199999.999974,1183000,1166999.99994,1399999.999968,999999.999925,937000.000074,1799999.999963,600000.000075,1200000.00006,1199999.999983,1200000,99999.999995,1400000.0000525,1200000.000045,699999.999916,278000.000061,1100000.0000172,2500000.000521,621999.999966,768999.9999355,517999.999944,689999.9999742,799999.9999352,799999.999996,900000.00009,1000000.0001,100000.00001,100000.00001,99999.99999174,99999.99999836,200000.000002,200000.000002,200000.000002,200000.000002,769.99999472,70.0000014,11849.9999995,245070.000032,300819.999915,349699.999995,176769.9999963,190059.9999928,221670.00006,402700.000076,226510.000088,113259.999998,NaN,219790.00006
Chad,125999.999994,93999.99999,117000.000011,30999.999993,400000.00005,400000.00005,641999.99987,800000.0001,881999.9999,1133000.00008,1251999.99991,1136999.99995,2211999.99987,4499999.9988,2799999.9999,3077999.99998,3360000.0008,3600000.00045,NaN,499999.999905,1599999.999885,1700000.000055,2500000.000155,3000000.00006,3199999.99847,2600000.0000065,2000000.000005,2178000.000088,2028000,2000000.00013,3399999.99955,4224000.00031,2127999.99986,1999999.999872,3558000.0006,7499999.99903,3449999.999853,10695000.00096,10999999.9989,10999999.9989,10999999.99884,10999999.99926,10999999.99929,10999999.99929,10999999.99884,10999999.99884,10999999.99896,10999999.99896,11000000.001735,10999999.998295,10999999.99797,10999999.99965,11000000.001388,10999999.999296,11000000.001371
Chile,15585999.998128,22389000.001504,25907999.998776,31073999.9992,31638000.00063,36289000.000462,36765999.999628,30306999.999042,34212999.998472,38496000.0013,45102000.0115,52526999.994,59300999.989,52079999.9865,36693000.0009,48545000.02,37104999.9981,49336000.014,56722000.015,50836000.0185,47733000.01,48057000.01,64870999.9875,86289999.994,104464999.98504,135978000.0007,142700000.01062,152499999.98632,156899999.99052,164097999.99806,157400000.00863,174000000.00966,194999999.991,195000000.012,214999999.992,225000000.008,220000000.00929,214999999.99294,235995999.933,235000000.036,226000000.065,246315999.9335,221073000.0325,292680000.09,240707999.9545,271153999.98,324390999.9708,394598999.9894,354384000.0687,348443999.9424,276077999.9528,273402999.966,288847000.0882,279777999.95468,328963000.071
China,543999999.981152,810000000.042246,974000000.003332,1249999999.63398,1830000000.50785,2670000000.33888,1959999999.56105,2149999999.85267,2640000000.27008,3370000000.19462,3369999999.69465,3859999999.62912,4449999999.501,3849999999.99956,5039999999.89081,4760000000.2716,7069999999.91948,9279999999.53384,10600000004.1801,12112099995.0874,11528299999.746,12274900003.6827,13699999998.1584,15179499994.97,13838300004.7632,13576099996.9192,16803899999.4576,18499999996.3831,18855296000.8884,19557800003.6926,19970500001.949,20299999997.0589,18003299999.7326,19200000002.5246,23781499998.112,25299999999.6578,22949700001.1631,22899999996.8775,24099999998.8713,22139168002.0938,22422711999.6937,25258492333.7726,25385359673.57,26433180329.2824,26824539332.31,27432226854.8055,28166902228.5102,28560475043.0035,29130299332.552,29704416946.3338,30295612671.9132,30802380275.9675,30963738274.6193,31145238581.9366,31028242256.6686
