Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brazil,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,278594996.005467,278280997.987209,411641987.982653,347591008.016135,389182974.003627,406233975.994727,498271992.0642,700480008.086473,702243000.159036,778652980.118939,905459940.010446,667840007.975225,642300009.979638,568048969.873233,812880018.051396,834099945.975278,980899989.965081,957899970.100152,814952002.033225,802499991.874008,796600027.953314,830800038.264356,841300012.058169,1085499919.8097,1220799960.23602,1140099952.2768,1250900024.0002,1438099950.20612,1545500029.82345,1660767059.74259,1667999999.99625,1639999920.21388,1815999930.3128,2407557880.28665,2281345939.69718,2072213930.04566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bulgaria,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,359515870.007058,303571970.007487,335858240.008738,309650429.99207,307795199.995849,357404799.992327,327047070.01263,339248959.994359,350757700.000817,395386499.872733,419973790.012109,489084700.101307,506748099.923618,516228159.985332,451825820.109128,462146079.995516,449350209.956928,440437500.005733,514264100.080895,468603040.060554,428158980.020508,355418300.014944,178320639.994129,155277919.994912,196470909.991436,106026910.006712,141502020.005764,149082499.994361,127266220.012379,104188310.015974,136969679.99983,163024290.008268,144872670.004185,299042559.891743,229603840.014121,180710800.003587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Burkina Faso,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,371999.998008115,440999.998926592,584000.0160961,355999.994996826,700000.017971052,400000.011079436,2200000.05003061,1755000.08012485,3353999.84892097,1959999.85001824,1247999.96995754,3075000.01014641,3309999.79004563,4070000.18169071,4218999.95883173,4736000.00045354,6780000.1899007,8256000.19088075,7958000.15073792,8159000.28883964,9213999.7607945,9838999.83930042,9305999.80848731,8999999.75153638,11516999.7884621,11391000.0900666,11462999.2091298,24351998.9009066,16400000.0013659,16899999.1009775,9860000.17932843,925999.994164321,926000.012086567,26619999.2993123,29081001.3020691,35434999.0987872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Burundi,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,422000.018550582,456999.995547563,576000.015963123,228000.00438827,600999.977529139,329000.0075509,467000.018176196,441999.978972433,411000.007804765,500000.015477199,899999.944919678,300000.015912192,499999.986818983,1246999.95101282,639000.004159702,1617000.08290908,1100000.0179488,1000000.00305453,999999.952994762,2000000.02154057,1000000.02293159,1000000.02907819,1799000.08604564,1366000.0640569,1000000.00195568,1000000.0016432,1000000.00746639,1000000.011938,1390999.97701621,1822000.07809178,1500000.0330429,1500000.12690761,852000.001385498,282000.009689183,429000.000703529,1098000.03695437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cameroon,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11565000.3612576,8999999.84869084,7301999.9784845,9325999.99934421,9763000.17850776,6100000.208559,3999999.94008688,14600000.4002592,15400000.0004825,14199999.1995049,16085999.999538,16590000.0014075,16899999.5990428,24500000.4015066,26000000.1007443,26899998.8994081,20700000.3008208,24600000.4006612,22075000.3784818,18199999.9399288,9000000.01016788,6000000.27927977,9399999.91123033,10203999.5508588,15000000.0117805,15000000.0810848,17999999.8993404,18900000.2995966,16524999.9985732,25984998.7992296,21857999.4007881,25576000.6988153,13148999.9017123,19370000.2983137,33166998.9995556,22773001.2996321,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Canada,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,291819990.992803,350000004.821573,409745995.512373,512640974.023094,531200005.750402,563000033.711839,599099991.424807,755299974.172758,834399967.291927,831100035.945319,937799949.088869,965900048.022542,1069800028.79029,1254900024.21355,1338500106.08824,1225000070.14751,1144600012.21395,1182800028.01299,1160166028.05983,1197188083.98573,1157764049.925,1253286894.17465,1317640051.79058,1405919979.94293,1456135988.11162,1576204975.83779,1670629932.1578,1652699868.20322,1625799992.07887,1682052060.22292,1564348060.19594,1541191143.74881,1629762952.201,1649912012.16851,1539450032.1435,1776684979.92528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Central African Republic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1166999.99423789,1399999.94919047,999999.996767,937000.016020434,1800000.03987029,599999.999945729,1199999.99989372,1200000.05018954,1200000.00004494,99999.996004949,1400000.01006902,1200000.03979371,699999.975833024,277999.999006087,1100000.01113891,2500000.07006993,622000.001093558,769000.009872283,517999.996017433,690000.007178075,799999.960778892,799999.962864568,900000.019156476,1000000.00821814,99999.9962725199,100000.001291307,99999.9999111552,99999.999924978,199999.997983507,200000.010028958,200000.014966826,200000.002037043,200000.006984299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Chad,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1132999.99010217,1252000.02983356,1136999.98908819,2211999.97980391,4500000.05854092,2799999.87003509,3078000.03005863,3359999.98021344,3600000.00010143,NaN,500000.00403583,1600000.04992468,1700000.049934,2499999.93982944,2999999.94008355,3199999.86003602,2599999.92002322,2000000.04980879,2178000.05002873,2028000.01988193,1999999.96979634,3399999.97987135,4223999.91019599,2128000.10017589,2000000.05981718,3557999.80005516,7499999.96004681,3450000.18985976,10694999.8020432,10999999.9026581,11000000.2972486,10999999.7978515,11000000.3996442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Chile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30390736.1489555,35318014.9397787,39218459.8185542,42455182.4954813,37966188.198938,26215541.3802537,32928071.1178447,28148284.6653581,34448619.9397117,40645284.3084451,35953968.5486433,33736300.8868016,33186483.2599646,45734435.3099868,61900018.1122014,78502715.7999848,103832779.088943,107303405.002174,116508089.587593,121983765.606446,125777214.993403,120539175.609612,131916860.997642,146441398.993749,146332307.993032,164827344.211674,170295740.205379,166155840.806297,164438975.506267,174044072.803307,176493236.509967,173052936.005456,162710599.490742,170609266.998992,228945134.491555,190724419.511043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
China,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3369000014.24598,3369999989.64895,3858999969.69921,4450999997.50093,3848999998.40499,5038999967.17819,4754999985.33148,7068482628.8094,9269601948.18432,10631269079.0078,12027086378.7717,11506107068.1604,12250152919.6586,13716879503.266,14940209823.0238,13805966266.8923,13397491174.4229,16460683014.1186,18338457648.5295,18830596770.003,19550475371.3813,19970331892.668,20310677063.2372,17991655681.2641,19124353579.2075,23545423823.9875,25087987160.652,22924196885.2816,22859630703.7969,24128764207.373,22139168009.839,22421980436.176,25408942230.8049,21671021267.2748,22411025895.6554,22480712044.5166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
