Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Burundi,NaN,NaN,NaN,NaN,NaN,100000,100000,100000,229000,422000,457000,576000,228000,601000,329000,467000,442000,411000,500000,900000,300000,500000,1247000,639000,1617000,1100000,1000000,1000000,2000000,1000000,1000000,1799000,1366000,1000000,1000000,1000000,1000000,1391000,1822000,1500000,1500000,514000,282000,429000,1098000,1488000,809000,997000,885000,1212000,1483000,NaN,NaN,NaN,NaN
Cameroon,1500000,1500000,2000000,2500000,3000000,6300000,8526000,10731000,8837000,11565000,9000000,7302000,9326000,9763000,6100000,4000000,14600000,15400000,14200000,16086000,16590000,16900000,24500000,26000000,26900000,20700000,24600000,22075000,18200000,9000000,6000000,9400000,10204000,15000000,15000000,18000000,18900000,16525000,25985000,21858000,25576000,20791000,19370000,33167000,22773000,25383000,22299000,22895000,23646000,11642000,37545000,NaN,NaN,NaN,NaN
Canada,98348000,122323000,150212000,170708000,218209000,276699000,320841000,242364000,269850000,291820000,350000000,409746000,512641000,531200000,563000000,599100000,755300000,834400000,831100000,937800000,965900000,1069800000,1254900000,1338500000,1225000000,1144600000,1182800000,1160166000,1197188000,1157764000,1252033713,1309734160,1389048960,1431381688,1539952285,1623852360,1596508200,1562393800,1606359660,1486130600,1450260731,1531264816,1522868776,1407057300,1607899925,1229277952,1873636992,1729774158,1734582300,1797565608,2170081098,NaN,NaN,NaN,NaN
Central African Republic,155000,160000,170000,200000,600000,800000,1000000,1200000,1183000,1167000,1400000,1000000,937000,1800000,600000,1200000,1200000,1200000,100000,1400000,1200000,700000,278000,1100000,2500000,622000,769000,518000,690000,800000,800000,900000,1000000,100000,100000,100000,100000,200000,200000,200000,200000,200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Chad,126000,94000,117000,31000,400000,400000,642000,800000,882000,1133000,1252000,1137000,2212000,4500000,2800000,3078000,3360000,3600000,NaN,500000,1600000,1700000,2500000,3000000,3200000,2600000,2000000,2178000,2028000,2000000,3400000,4224000,2128000,2000000,3558000,7500000,3450000,10695000,11000000,11000000,11000000,11000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Chile,15586000,22277055,25648920,30607890,31005240,35381775,35663020,29246255,32844480,36763680,42846900,49638015,55742940,48694800,34124490,44904125,34136600,45142440,51617020,46006580,42959700,43011015,57735190,76366650,91929200,118980750,124149000,131912500,134934000,140303790,133790000,147030000,163800000,162825000,178450000,185625000,180400000,175655000,192336740,190820000,182834000,198777012,177742692,234436680,192325692,215838584,259512800,315679200,276565600,334187200,345957600,NaN,NaN,NaN,NaN
China,544000000,809190000,972052000,1246250000,1824672000,2657645000,1946252000,2130978000,2613920000,3338679000,3336300000,3816551000,4397588000,3798963000,4968454000,4683675000,6966905000,9131520000,10460103000,11894082200,11309262300,12029402000,13433838000,14845551000,13520019100,13250273600,16383802500,18032636000,18346203008,19010181600,19391355500,19719130000,17445197700,18546880000,22996710500,24415650000,22146460500,22063068000,23248746000,21297879616,21548226232,27981367680,27283759062,25432640078,26837661081,29802670952,31061680787,39105995719,42972285270,39149084661,36464243505,NaN,NaN,NaN,NaN
Colombia,23000000,40000000,36608000,53088000,45000000,44715000,47000000,53000000,54295000,63520000,78173000,109000000,125700000,122700000,111305000,142740000,144000000,133749000,151024000,151200000,143000000,149400000,157360000,180990000,184100000,224429000,244999000,261700000,268900000,311800000,298900000,255400000,251900000,252800000,241400000,236000000,265200000,296800000,299800000,334300000,301383000,356650000,369721000,351921000,481592000,543964000,574625000,458489000,538731000,533805000,601915000,NaN,NaN,NaN,NaN
Comoros,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Congo,200000,300000,500000,500000,700000,749000,834000,1000000,2614000,3141000,4600000,3600000,1200000,200000,200000,120000,NaN,NaN,90000,176000,154000,900000,800000,900000,1300000,NaN,100000,500000,207000,641000,1300000,1100000,1000000,900000,1000000,2000000,2000000,2000000,2000000,2000000,2648000,NaN,NaN,734000,9000,24000,64000,252000,913000,110000,745000,NaN,NaN,NaN,NaN
