Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Chile,15603523.14895,22389022.63656,25906919.99014,31068743.85842,31627960.21924,36278501.41827,36758552.95007,30324872.1172,34226751.6147,38494827.95112,45088877.23899,52531925.55027,59283797.1319,52070502.4334,36691275.7596,48555932.60592,37094215.66344,49330728.12668,56717527.28874,50852801.19348,47723307.53385,48058348.0416,64874664.8064,86287778.33326,104452992.73409,135993174.82275,142714234.68734,152497516.60139,156889989.21186,164097968.1224,157403215.4331,174004634.43664,195011377.281,195011491.80059,214998368.92468,225011701.81737,219994648.37694,215002328.77848,235984907.87328,234991763.01205,225997346.0294,209989930.0723,221063346.75912,292670467.23,240719232.14571,271151505.66079,324388594.5232,394596856.34346,345710766.18568,412479233.21851,NaN,NaN,NaN,NaN,NaN
China,543467469.114,809707900.869,973295282.96,1249366869.673,1831743452.66,2670768147.355,1958625333.72,2146057903.574,2635171056.513,3369122988.672,3370070602.657,3858460388.412,4451699796.388,3848679113.965,5038949372.491,4754302540.191,7073562750.816,9280266836.75,10640849317.042,12111471693.324,11528545778.952,12275008954.39,13721818280.682,15179473393.449,13838123126.786,13576008741.264,16804178401.491,18514735406.376,18856060196.6,19558102664.248,19970951871.312,20329883389.809,18002783194.89,19159658403.6,23781966480.778,25274922423.156,22949882644.864,22886588955.519,24141262382.118,22139107672.491,22422170985.345,25429728900.028,28451222244.408,26547507909.762,28044585874.328,31174169386.372,32594305598.483,33216045361.782,36898304845.527,35069793438.334,NaN,NaN,NaN,NaN,NaN
Colombia,22989984.31075,39985348.524,36594825.61592,53072730.23052,45018378.69675,44739328.6278,46997098.39341,53023897.9634,54271249.40064,63509474.38176,78170694.21009,109024033.30596,125710974.9216,122676637.29726,111308706.44374,142748936.42214,143991352.38228,133726286.2404,151031455.21308,151191077.29658,143019061.16608,149391181.81143,157384062.77153,181014103.12167,184083051.01248,224453835.935,244982561.97132,261697833.29856,268897065.18065,311793248.1348,298911053.32854,255398321.4339,251913205.87884,252809665.62488,241402184.62724,235992518.5366,265209110.17185,296780022.82726,299791340.90955,334299268.47651,301364952.042,335382196.39227,369720349.8288,351919023.55218,481578860.09493,543976075.52802,574574505.0524,465232761.00582,547715484.07154,526321752.50044,NaN,NaN,NaN,NaN,NaN
Comoros,13381.2775404,16811.5777722,19748.9272328,19869.7509359,22972.8042549,24490.4228856,27440.6762596,28009.9163054,30026.2022424,33207.033861,32727.0173397,37395.119888,38699.30989,40025.1408636,39383.8451226,40725.9128903,40863.71032,42232.8293124,45301.7471436,46310.9242414,46470.3596208,48008.093796,48169.554972,48718.2700596,51159.275223,49645.4777379,47960.5388484,52464.3568317,51697.2213815,49699.0706805,100214.5906825,99894.009536,100026.4270416,100039.188429,99932.2936654,99705.7427828,100021.932655,100248.3804412,99692.7751728,99724.7817396,99667.046205,99968.3700468,55220.9908372,56844.4882824,58476.719752,56451.972731,57185.115234,59384.542743,58651.40024,59384.542743,NaN,NaN,NaN,NaN,NaN
Congo,197719.266732,300003.337588,499790.956364,501271.58809,697694.43368,751199.5285,835966.331514,998845.160518,2615993.220456,3138950.114838,4599399.749098,3599135.789504,1200398.779734,202193.960202,201723.67332,118688.179421,1951198.69987,1987724.25306,92235.01284,173811.171588,153001.41078,897561.70592,800626.727786,897474.557584,1300249.98729,2314841.781576,101970.54982,499629.155816,209018.309427,642318.731964,1299863.298915,1099952.08214,1001254.240545,901810.4536,998154.215307,1998289.120905,2000225.517312,2002134.276354,1998750.353139,2000559.16288,2646891.455979,195833.17709,2619367.706826,733047.152958,10643.07167,26655.60158,63973.443792,250562.654852,911621.574036,111953.526636,NaN,NaN,NaN,NaN,NaN
Costa Rica,6225975.744156,8829253.837917,20999774.084058,23998295.271231,9999094.069423,16698658.01877,15701282.931846,28998965.497359,39981665.56059,37366095.951366,26801517.965492,25899313.44465,34000170.625836,33900928.339968,31098565.281707,28488222.2692,40543517.447748,40878305.65698,39401505.29585,40498710.721794,45201537.392431,48999452.012354,54000481.427904,50601941.87211,49001411.5542,52000851.10077,54998683.318593,58968441.884202,63000992.250999,55598666.77744,62399614.672071,65000532.981555,59999126.241978,69999302.126258,70001386.84355,88999945.129984,100000000.826585,103988511.6354,79997961.978894,67999169.901608,53222442.954429,52066338.979545,65179003.334765,61339987.456672,88826109.69123,71159610.581526,66198156.44061,67842887.575236,71364066.109311,57102157.182264,NaN,NaN,NaN,NaN,NaN
Cuba,40006688.44455,48749026.7033,63653089.46037,76003539.81,89999051.73416,144002007.4517,170007287.01992,172692732.05555,175601354.64804,158801774.70576,122902866.75614,103106146.0754,130389409.6356,139798914.12666,156304804.76352,187188540.85782,222988883.65417,225005109.59655,280414086.87271,267400087.6218,314988778.36134,276713853.02991,248695547.2473,294413332.48404,293607969.6928,328384652.13375,306397420.0262,304697211.74113,366655389.80823,282990336.89184,240005189.7673,192005267.65524,120002069.32909,72012501.93537,99990096.09291,100016345.26729,132997663.5549,106987487.57723,72283020.45687,78018745.18016,116609619.75879,67697664.04394,24856593.92985,41820742.355,30725602.11091,43648408.41776,51784286.66524,58339259.66084,28379177.20448,47080129.57428,NaN,NaN,NaN,NaN,NaN
C?te dIvoire,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Democratic Republic of the Congo,197719.266732,300003.337588,499790.956364,501271.58809,697694.43368,751199.5285,835966.331514,998845.160518,2615993.220456,3138950.114838,4599399.749098,3599135.789504,1200398.779734,202193.960202,201723.67332,118688.179421,1951198.69987,1987724.25306,92235.01284,173811.171588,153001.41078,897561.70592,800626.727786,897474.557584,1300249.98729,2314841.781576,101970.54982,499629.155816,209018.309427,642318.731964,1299863.298915,1099952.08214,1001254.240545,901810.4536,998154.215307,1998289.120905,2000225.517312,2002134.276354,1998750.353139,2000559.16288,2646891.455979,195833.17709,2619367.706826,733047.152958,10643.07167,26655.60158,63973.443792,250562.654852,911621.574036,111953.526636,NaN,NaN,NaN,NaN,NaN
Denmark,133482288.8412,142164995.1594,152801830.45754,168691988.52417,191593725.15549,214861652.0922,232622979.47364,247986127.92528,270204150.6552,289334204.31267,308248854.16908,329469936.04096,365141898.3424,300440334.77574,339081992.8116,349498147.75766,373712535.9863,379892879.64915,393899291.31553,374102134.8564,375975432.54299,391392466.35912,418983789.03603,398157223.30962,382095019.7532,381262293.24687,366999946.8102,376892760.15216,400392907.20408,394901586.1827,369998096.95666,332998169.40016,325004718.85736,315992146.27742,291002011.94977,288005746.5534,282993135.85014,263006500.0872,248004199.73308,233998899.83032,210621612.17079,201563731.35648,218128776.99165,182173748.40672,179050712.7492,190302935.19968,192944952.26656,218218953.76664,186980987.27,178685830.74384,NaN,NaN,NaN,NaN,NaN
