Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brazil,54999999.937803,50899999.9091058,65200000.1249347,50799999.956819,70600000.1123471,71100000.0512428,106399999.910512,144300000.10511,164399999.875689,276399999.906925,278299999.853365,411600000.185455,347600000.013135,389200000.034616,406300000.152457,498200000.116109,700499999.940802,705999999.750843,779399999.780776,885999999.927857,667599999.954537,642299999.924178,564799999.744925,811200000.156327,834100000.021638,980899999.704558,957900000.026711,815000000.030367,802499999.790409,796599999.852747,829500000.085813,835099999.959173,1070799999.93331,1224499999.81368,1150499999.93312,1248399999.90825,1438099999.78763,1545500000.13765,1656159200.06755,1959743699.57935,1681074000.07843,1786557600.04103,2328141599.57563,2336588800.12309,2154801000.40681,2127114599.99306,2541923999.80882,2311848000.11694,2359896000.25299,2638020000.19968,3110183999.78655,3173939999.6729,3417414000.18889,3577727999.71075,NaN
Bulgaria,73199999.9959317,65000000.0060139,89099999.979287,159000000.003306,219099999.989891,281699999.986843,323200000.012496,390000000.042938,386899999.990298,378799999.977404,321799999.974567,353699999.975576,350300000.015451,373500000.028955,425199999.999475,408599999.950085,395000000.00046,403599999.888859,466800000.182813,488999999.833999,559000000.022571,535599999.822851,550300000.05914,479399999.904647,498999999.856753,477999999.904755,469400000.211334,547999999.892905,494999999.921217,452900000.218896,376922700.028173,188821599.979022,165767800.005352,207076899.996369,111551999.974142,151239999.991292,157011000.000302,134189999.973734,109825799.996509,144030599.99096,149249999.987969,129878400.001242,133597999.99154,133232999.990326,136663200.015237,158000000.023518,159999999.989019,128999999.998381,187999999.968853,187000000.022518,192000000.012375,235000000.003336,291999999.986228,385000000.198359,NaN
Burkina Faso,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Burundi,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cameroon,999999.990664675,1500000.01128493,2000000.02179245,2499999.99324996,2999999.98561661,6299999.98899251,8499999.97985738,10700000.0033367,8799999.98262018,11500000.0125513,9000000.00486193,7299999.97947801,9299999.97117178,9800000.02494555,6100000.01443129,4000000.00987718,14599999.9991235,16800000.0174064,14200000.0182631,18400000.0106028,22700000.0072079,16899999.997887,24499999.9821953,26000000.0086366,26900000.0289229,20699999.973949,24599999.9837721,21999999.9761297,18200000.0294899,9000000.02355048,6000000.0015462,9400000.01533741,10199999.9908945,14999999.9717652,15000000.0075275,18000000.008546,18899999.9984664,16600000.0034634,26000000.0209607,21899999.9777164,25600000.0238856,13000000.0032597,19400000.013143,27100000.0325146,19400000.0183932,17600000.0146463,19399999.9998465,19800000.0031804,19000000.0164925,19000000.0311437,21400000.0155576,22600000.0206775,20499999.9637018,21000000.0047955,NaN
Canada,89200000.1240966,110999999.76905,150199999.948619,170699999.83635,218200000.209935,276700000.185491,320799999.900771,249699999.88887,267699999.971872,323100000.193205,334399999.966891,409799999.893095,512599999.822485,531299999.914165,556199999.881043,599000000.110156,705399999.876342,834399999.821474,890400000.006302,945900000.049095,982900000.19778,1069799999.94547,1254900000.05333,1338499999.67397,1312899999.95652,1150000000.04141,1182799999.91497,1160299999.93177,1196299999.88727,1157700000.0398,1252046699.71956,1309396199.97927,1408789200.30713,1423777200.03086,1539849700.23115,1623628800.20696,1596508200.22437,1562393800.3388,1606405499.91657,1512305000.05807,1487250499.87702,1532207999.95206,1522949999.89413,1407102999.95664,1393247499.6825,1575167999.71468,1712883599.68885,1646020800.03963,1722306000.32084,1802939999.86499,2080810200.33357,2250504000.03198,2226042000.3085,2332950000.28693,NaN
Central African Republic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Chad,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Chile,29400000.007261,24178500.0064804,33957000.0049304,30731999.9949269,31163999.9881799,35489999.9821015,35792999.9856264,31362500.0103343,41855999.9953905,40969500.0079663,45694999.996468,49801500.0056691,55742000.0132642,48713500.0076621,35897999.991581,43937499.9948431,36800000.0066908,45750000.0115333,46136999.9842623,46426499.9842164,43470000.0196201,43228499.985322,58206000.0126588,76286999.9977952,91960000.0101962,118999999.968651,124149000.008452,131912499.996576,134933999.992377,140305500.012218,133789999.984825,147030000.001279,163800000.021147,162824999.991018,178450000.01114,185625000.018849,180399999.974638,175654999.949721,191769500.027925,190820000.085126,191328499.988206,194487000.047922,215150400.019523,222277499.95171,207340499.974597,202184000.054857,213919999.953372,204799999.903898,207999999.942272,214000000.040417,216799999.972355,211360000.082703,155120000.027518,154640000.038075,NaN
China,880000000.219168,897102000.093119,914168000.158996,854429000.000966,1323684000.20076,1840749999.96443,1622208000.26626,2215383000.43401,2478015999.66239,2960116999.52156,3175919999.44546,3651388000.04762,4174300000.05147,3597614999.74235,4718009999.61914,5614499999.81876,7559875000.07543,8855999999.65062,10183879999.4441,11574833996.4728,11072546993.6001,11793319994.4649,13176361007.6977,14610342010.4664,13281337995.1581,12964208001.7539,16110899997.2854,17735663403.7316,18041852487.8659,18694475997.3118,19059759000.5556,19415520008.4391,17120291998.077,18213887997.2536,22661644991.6352,24083345987.1755,21871724995.5833,21756515998.8916,22977179997.9793,21856640004.6887,21808933997.4254,24965759993.2473,24049802004.1789,25831512004.253,28481564094.3282,30410359994.1601,31555545406.6272,31674575109.9921,32020800001.3008,31067132886.9424,32497300006.639,33354999984.2527,32640249997.4356,31323775787.8886,NaN
