Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Burundi,NaN,NaN,NaN,NaN,NaN,100836,103860,96877,226638,418362,458768,578830,230230,599178,330743,467428,437952,412989,499565,897828,303424,501550,1242976,640492,1620079,1096821,996585,1001300,1996713,1000454,996482,1797597,1367072,996264,996740,997423,1000868,1392936,1826188,1503924,1494900,849372,514624,287125,424008,1099593,1488330,804971,1002762,1054530,1940841,2674728,2969028,NaN,NaN
Cameroon,1503138,1492423,1993215,2492553,2997733,6304030,8529750,10724184,8838900,11558040,8991900,7292332,9317880,9758588,6104472,4004875,14601910,15407535,14211246,16077880,16597944,16890225,24500540,25991693,26904984,20696408,24602526,22085280,18197436,8997216,6004924,9390828,10206952,15014208,14987880,18001893,18903332,16523272,25972950,21865734,25561615,13140465,20781924,19369588,33169668,22786550,25400774,22310316,22879395,25315782,25457160,37341696,27911813,NaN,NaN
Canada,98351775,122335675,150133312,170648316,218301173,276716216,320894528,242314752,269793539,291823353,349912869,409710608,512594880,531201645,562991796,598993248,755328660,834423090,831200433,937846364,965916864,1069854400,1254918107,1338493653,1224969304,1144603968,1182744585,1160057955,1197074270,1157661726,1253197250,1317529152,1405935608,1456027798,1576148490,1670536230,1652621134,1625728526,1682167655,1564427788,1541287278,1629845701,1643015962,1649790636,1539501810,1776611016,1371866782,2068104137,1909306180,1914598854,2051169816,2490600386,2502708608,NaN,NaN
Central African Republic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Chad,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Chile,15580304,22393150,25913567,31074932,31640908,36285090,36772142,30306360,34219732,38499312,45101912,52523590,59297094,52084134,36696821,48551282,37104696,49335336,56715180,50836342,47729520,48053564,64869550,86287124,104458258,135981300,142696400,152493145,156897792,164104344,157398660,173994337,194994196,195000209,215002186,225007689,220002240,214986918,236002784,235007900,226001710,210006621,246313200,221072274,292672065,240711776,271152024,324393714,394590632,354400728,348443100,349974702,343003361,NaN,NaN
China,544163400,810644639,974368052,1249771500,1832230285,2670841409,1957445192,2145651600,2634616980,3368404690,3369595160,3859378936,4451523648,3848851824,5038643765,4754386905,7073446896,9279776208,10641519318,12112334400,11527628168,12275214210,13721507310,15179062080,13838777442,13576077648,16804551558,18514670094,18855447489,19557066250,19971000624,20329004813,18002945375,19160095500,23781946944,25275131625,22949967084,22886263050,24141247000,22139428206,22422688224,25430322717,21789968420,21685653000,22419491485,22480840338,22812364071,23157101136,23198888790,23468215477,23709738240,23978515292,24169367610,NaN,NaN
Colombia,23000692,40002600,36615208,53087841,45004498,44725348,47001672,53010342,54286713,63518760,78174209,108992415,125710010,122687316,111309600,142751054,144011709,133734730,151037908,151194576,142997988,149389732,157373360,180973912,184108050,224422794,244982396,261696990,268890342,311806209,298894232,255381261,251897140,252804640,241389580,235990144,265200795,296814255,299791120,334288170,301374304,335418176,356650164,369718756,351930228,481577548,543942444,574626273,458485920,544859250,538729542,608753640,619258458,NaN,NaN
Comoros,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Congo,200446,300146,500544,499815,700603,749469,833256,1000482,2614605,3141385,4601278,3599424,1199221,199800,199456,120540,NaN,NaN,90000,176637,153750,899580,799090,901152,1298885,NaN,99585,500092,207014,641377,1300192,1100196,1000831,899208,1000584,1999470,1999542,1999346,1999995,2001297,2646787,195000,NaN,NaN,732720,8646,23656,63777,252160,911564,108314,49714,437801,NaN,NaN
