Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brazil,55068372.8,50294958.77,62047650.16,50799470.23,70556469.5,71119095.58,106369056,144334408.47,164445821.54,278599296.96,278270910.08,411642730.23,347598755.8,389177822.75,406244853.91,498271787.14,700499151.16,702239200.38,778648024.56,905469281.2,667854027.72,642293313.72,568032860.06,812887452.9,834090500.25,980920457.88,957916868.58,814936361.25,802509521,796587339.76,830788036.65,841302760.5,1085520991.57,1220787756.48,1140090477.48,1250906461,1438101344.52,1545522766.2,1645797859.28,1636298728.9,1594082065.16,1766864811.6,2296787486.68,2153594854.93,1937502867.3,2030482109.98,2724662607.68,2308308494.43,2906848964.8,3389836456.08,4082387713.95,3928059363.2,3653338671.69,NaN,NaN
Bulgaria,73225007,65034078,89129301,158973944,219070007.06,281739890.75,323232406.08,390032850.6,386883392,378801568.2,321774467.98,353652375.33,328057191.55,329537448.48,379971759.29,348401487.28,362572626.24,376335355.68,420549895.48,449999332.98,518000790.72,535599000,550300591.92,479400465.56,499000655.52,477999207.28,469399200.15,547999755.68,495000377.32,452898834.18,376891823.88,188797340.25,165805770.48,207074927.79,111552124.32,151241421.8,157010845.08,134190731.15,109821465.36,144029709.06,171440257.6,282421484.53,314677771.62,240132703.05,189755161.08,146881706.4,200116182.96,213560716.38,278361471.07,270128602.64,371014255.31,317610802.08,379852804.38,NaN,NaN
Burkina Faso,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,293304,371176,441780,584708,355950,699105,400688,2199835,1754910,3354168.23,1961246.56,1247534.54,3075975,3311055.9,4068749.1,4218900,4734600,6780830,8255060,7958412,8157600,9214775.88,9840600,9306000,8998500,11517867,11391900,11462950,24351250,16400070,16900290,9860845.32,927710,2008170,26620330,29080090,35436100,29998530,23580785.58,30586730,28393530,41119040,29702700,28255200,49675500,NaN,NaN
Burundi,NaN,NaN,NaN,NaN,NaN,99738.35,100079.84,100086.8,229313.04,421672.77,456868.22,576355.45,228215.97,601214.9,328655.45,467005,441837.9,410745.2,499736.16,899535.78,300068.12,499718.4,1246638,639443.72,1616891.18,1100155.24,1000276.99,999761.49,1999764.28,1000053.2,999787.25,1798511.75,1365525.18,1000463.75,999752.38,999924.03,1000527.84,1391384.38,1821664,1500173.48,1499866.2,514099.42,281729.72,428647.35,1098137.25,1488219.48,809318.68,996857.6,1048850.89,1942290.25,2672391.24,2963163.84,4140653.98,NaN,NaN
Cameroon,1499827.5,1500936.54,2001052.32,2500536,2999234.97,6299876.2,8525693.68,10731591.78,8836122.81,11564613,9000258.3,7303011.98,9325081.68,9763844.01,6100206.72,3998823.92,14600757.36,15401427.7,14198700,16085035.98,16591403.92,16901550.47,24501177.75,26001279.32,26901316.68,20701543.94,24600841.44,22076106.14,18199208.49,8999068.4,6000837.08,9401048.8,10204514.53,15001518.56,15000385.92,17999285.07,18899675.5,16525015.76,25984025.52,21858418.76,25576775.4,20792911.14,19369496.08,33166856.61,22773203.42,25382326.75,22299103.53,22893634.95,25299596.35,25459360.02,36978643.31,27426470.1,19764865.83,NaN,NaN
Canada,98336335.84,122324208.3,150212504.42,170718072.84,218210379.13,276712528.56,320838524.38,242366049.43,269843651.52,291810634.8,349995016.08,409743416.5,512641559.04,531207435.33,562992456.54,599106235.17,755307597.82,834393514.5,831110175,937811170.05,965905196.22,1069797734.35,1254898752.1,1338497455.4,1225000742.56,1144603086.34,1182809160.33,1160159603.29,1197181956.51,1157767192.78,1252040837.58,1309741294.33,1389045421.5,1431378946.31,1539956580.42,1623839208.42,1596509575.99,1562388397.29,1606363955.75,1486118196,1450274273.76,1531253952.18,1522882350.16,1407048405.29,1607889668.64,1229275288.98,1873627643.04,1729764218.25,1734594828.1,1858435936.03,2256374079,2267356475.8,2621119762.15,NaN,NaN
Central African Republic,154870.17,160325.85,170172,200142.36,600141.7,799810.56,1000243,1199663.86,1182946.79,1167329.36,1400109.85,999612.44,936906.94,1800386.42,600219.96,1199920.38,1199860.42,1200154.26,100044,1400060.6,1200095.82,700347.24,277932.06,1100179.82,2500221,622058.64,768755.96,518002.32,690139.3,800168.57,799812.9,900263.9,1000100.38,100103.44,99769.86,99781.92,100015.6,200306.4,200344.14,199743.6,199796.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,461222.97,226065.66,226289.35,NaN,NaN
Chad,125514.88,94092.59,116810.12,30539.52,399166.38,400533.99,641236.32,800306.58,881402.28,1132880.4,1252759.13,1137494.73,2212594.34,4499754.22,2800298.75,3078728.55,3359920.86,3599370.63,NaN,500166.36,1599471.12,1699820.62,2499572.9,3000396.81,3199181.84,2599985.36,2000345.62,2178498.6,2027395.84,2000818.8,3400722.5,4224923.1,2128178.52,1999416.99,3557610.16,7499179.68,3448959.93,10694614.46,11000848,11000950.6,10999172.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Chile,15585768.26,22276315.65,25648290.85,30608045,31005146.05,35381845.95,35663662.38,29246750.92,32845201.2,36763354.46,42847040.64,49637479.6,55742626.95,48694729.63,34124081.7,44904579.72,34136475.35,45142531.7,51617097.72,46007035.36,42960070.8,43011247.32,57735374.67,76366831.24,91928279.68,118981229.64,124147969.14,131912797.95,134934435,140303971.7,133790328.75,147029699.31,163800038.8,162824623.78,178451328,185625613.53,180400042,175655297.96,192337172.5,190819845.85,182834525.44,198776548.16,177741812.44,234436761.18,192326709.63,215838279.94,259513651.53,315680186.67,283507078.8,278754545.44,220862693.65,215009307.85,235089797.6,NaN,NaN
China,879978528,897128544,914117172,854400960,1323710994,1840700160,1622206315,2215340659,2477991600,2960104732,3175901190,3651393375,4174346736,3597644569,4717963197,5614531440,7559905868,8855996796,10183896430,11574793405,11072533932,11793336236,13176367920,14610308200,13281398520,12964199148,16110894756,17735653728,18041882688,18694506558,19059703320,19415466399,17120281774,18213906914,22661610240,24083282526,21871695048,21756551985,22977177463,21856628511,21808908642,24965743075,24049841400,25831545918,28481552145,30410393650,30935290702,30993575560,31163024860,30698952262.5,31264289907.5,31492772931.7,31448995891.6,NaN,NaN
