"","year","Australia","Austria","Brazil","Canada","Switzerland","Chile","Germany","Finland","France","United Kingdom of Great Britain and Northern Ireland","Ireland","Japan","Luxembourg","Morocco","Netherlands","New Zealand","Poland","Slovenia","Uruguay","United States of America","South Africa"
"806",1986,0.960173348681924,0.901228906546706,1,0.999998,0.741,0.874619,0.748279956237868,0.819002,0.84311944510129,0.678448770985303,0.336457939661763,0.927892,0.453752079169721,0.999857,0.257238635589336,0.08,0.848570710763134,0.649344219725129,0.979,0.758868,0.993
"807",1987,0.958434046168417,0.901158348960101,1,0.999998,0.731,0.869704,0.747139138011241,0.812,0.846321092786852,0.753505037388367,0.318499731031309,0.92491,0.453752079169721,0.999886,0.253066712165246,0.08,0.84769140432786,0.649344219725129,0.978,0.740698,0.992
"808",1988,0.956589278448604,0.901020791560343,0.999686882806378,0.999999,0.721,0.864708,0.743338203467984,0.803999,0.844785540377822,0.685071457437074,0.305916200442704,0.921919,0.453752079169721,0.999901,0.244939164912211,0.08,0.847769734923751,0.649344219725129,0.978,0.734987,0.992
"809",1989,0.954680942245392,0.900291496539965,0.999373765612755,0.999999,0.71,0.859751,0.740505940375161,0.797001,0.843517948222173,0.655183140813642,0.299753181102647,0.918928,0.453752079169721,0.999913,0.264792392190684,0.08,0.847559811244718,0.649344219725129,0.977,0.753027,0.992
"810",1990,0.952717296002952,0.898246418896546,0.999060648419133,1,0.7,0.855,0.737251533182957,0.789995,0.839109158807646,0.686116057553531,0.286863689992615,0.905,0.453752079169721,1,0.247279547304008,0.08,0.845948920367922,0.649344219725129,0.976,0.75981,0.991
"811",1991,0.950706598165458,0.900594463834607,0.998747531225511,0.999,0.703,0.85,0.729752694885609,0.766003,0.833296103074394,0.77742559481925,0.342291075688804,0.891,0.453752079169721,0.994,0.258268772605257,0.08,0.843961066637255,0.649344219725129,0.964,0.757106,0.986
"812",1992,0.948657107177082,0.898730328055735,0.998434414031889,0.994,0.707,0.845,0.730739571630452,0.741005,0.826230100025533,0.809782538043518,0.350480665203064,0.876,0.453752079169721,0.987,0.263946961541798,0.08,0.839174966364952,0.649344219725129,0.952,0.763964,0.98
"813",1993,0.946577081481996,0.898124738846626,0.998121296838266,0.988,0.71,0.839873,0.719515831781874,0.717002,0.813717243710207,0.685504145725398,0.384121327014045,0.862,0.453752079169721,0.981,0.250487569675575,0.08,0.838221134986031,0.650369400622315,0.94,0.747995,0.974
"814",1994,0.944474779524372,0.898021553508652,0.997808179644644,0.983,0.713,0.834912,0.725052865110083,0.692003,0.81460733731345,0.671808187631109,0.398062174617712,0.848,0.453752079169721,0.974,0.274520593293761,0.08,0.834469984298405,0.650506878078771,0.928,0.765981,0.969
"815",1995,0.942259442398515,0.894853193206856,0.997495062451022,0.977,0.717,0.829958,0.738419533101532,0.668003,0.817549759004008,0.709665011456782,0.396389985571322,0.833,0.453752079169721,0.968,0.283364451241405,0.08,0.834945691412391,0.659380536205704,0.916,0.755804,0.963
